Series Name,Year,Country Name,Country Code,GDP_pc
"GDP per capita, PPP (current international $)",2020,Afghanistan,AFG,2561.981761
"GDP per capita, PPP (current international $)",2020,Albania,ALB,14511.43892
"GDP per capita, PPP (current international $)",2020,Algeria,DZA,12676.51306
"GDP per capita, PPP (current international $)",2020,American Samoa,ASM,..
"GDP per capita, PPP (current international $)",2020,Andorra,AND,52095.8414
"GDP per capita, PPP (current international $)",2020,Angola,AGO,6450.749946
"GDP per capita, PPP (current international $)",2020,Antigua and Barbuda,ATG,22356.76872
"GDP per capita, PPP (current international $)",2020,Argentina,ARG,22393.34796
"GDP per capita, PPP (current international $)",2020,Armenia,ARM,14706.3173
"GDP per capita, PPP (current international $)",2020,Aruba,ABW,28976.46355
"GDP per capita, PPP (current international $)",2020,Australia,AUS,53984.1247
"GDP per capita, PPP (current international $)",2020,Austria,AUT,58523.03378
"GDP per capita, PPP (current international $)",2020,Azerbaijan,AZE,15163.57033
"GDP per capita, PPP (current international $)",2020,"Bahamas, The",BHS,26141.453
"GDP per capita, PPP (current international $)",2020,Bahrain,BHR,53436.0317
"GDP per capita, PPP (current international $)",2020,Bangladesh,BGD,6640.584373
"GDP per capita, PPP (current international $)",2020,Barbados,BRB,15824.49107
"GDP per capita, PPP (current international $)",2020,Belarus,BLR,24872.3399
"GDP per capita, PPP (current international $)",2020,Belgium,BEL,56120.09584
"GDP per capita, PPP (current international $)",2020,Belize,BLZ,9618.016435
"GDP per capita, PPP (current international $)",2020,Benin,BEN,3244.587728
"GDP per capita, PPP (current international $)",2020,Bermuda,BMU,85143.71792
"GDP per capita, PPP (current international $)",2020,Bhutan,BTN,12475.048
"GDP per capita, PPP (current international $)",2020,Bolivia,BOL,8293.991212
"GDP per capita, PPP (current international $)",2020,Bosnia and Herzegovina,BIH,16369.24869
"GDP per capita, PPP (current international $)",2020,Botswana,BWA,15292.30284
"GDP per capita, PPP (current international $)",2020,Brazil,BRA,16101.61831
"GDP per capita, PPP (current international $)",2020,British Virgin Islands,VGB,..
"GDP per capita, PPP (current international $)",2020,Brunei Darussalam,BRN,69787.96334
"GDP per capita, PPP (current international $)",2020,Bulgaria,BGR,25862.2931
"GDP per capita, PPP (current international $)",2020,Burkina Faso,BFA,2380.722828
"GDP per capita, PPP (current international $)",2020,Burundi,BDI,786.5158307
"GDP per capita, PPP (current international $)",2020,Cabo Verde,CPV,6852.576699
"GDP per capita, PPP (current international $)",2020,Cambodia,KHM,5942.453804
"GDP per capita, PPP (current international $)",2020,Cameroon,CMR,4365.447041
"GDP per capita, PPP (current international $)",2020,Canada,CAN,48590.68321
"GDP per capita, PPP (current international $)",2020,Cayman Islands,CYM,66118.65452
"GDP per capita, PPP (current international $)",2020,Central African Republic,CAF,1066.290054
"GDP per capita, PPP (current international $)",2020,Chad,TCD,1568.600585
"GDP per capita, PPP (current international $)",2020,Channel Islands,CHI,..
"GDP per capita, PPP (current international $)",2020,Chile,CHL,25350.86351
"GDP per capita, PPP (current international $)",2020,China,CHN,17891.48029
"GDP per capita, PPP (current international $)",2020,Colombia,COL,15519.21017
"GDP per capita, PPP (current international $)",2020,Comoros,COM,3261.594968
"GDP per capita, PPP (current international $)",2020,"Congo, Dem. Rep.",COD,1136.008396
"GDP per capita, PPP (current international $)",2020,"Congo, Rep.",COG,4770.964498
"GDP per capita, PPP (current international $)",2020,Costa Rica,CRI,22099.86781
"GDP per capita, PPP (current international $)",2020,Cote d'Ivoire,CIV,5543.850963
"GDP per capita, PPP (current international $)",2020,Croatia,HRV,31594.70088
"GDP per capita, PPP (current international $)",2020,Cuba,CUB,..
"GDP per capita, PPP (current international $)",2020,Curacao,CUW,21797.01905
"GDP per capita, PPP (current international $)",2020,Cyprus,CYP,43352.28125
"GDP per capita, PPP (current international $)",2020,Czechia,CZE,44839.48221
"GDP per capita, PPP (current international $)",2020,Denmark,DNK,62682.28995
"GDP per capita, PPP (current international $)",2020,Djibouti,DJI,5599.100761
"GDP per capita, PPP (current international $)",2020,Dominica,DMA,13577.82665
"GDP per capita, PPP (current international $)",2020,Dominican Republic,DOM,19070.38118
"GDP per capita, PPP (current international $)",2020,Ecuador,ECU,11526.80118
"GDP per capita, PPP (current international $)",2020,"Egypt, Arab Rep.",EGY,15231.86542
"GDP per capita, PPP (current international $)",2020,El Salvador,SLV,9392.689138
"GDP per capita, PPP (current international $)",2020,Equatorial Guinea,GNQ,13677.11059
"GDP per capita, PPP (current international $)",2020,Eritrea,ERI,..
"GDP per capita, PPP (current international $)",2020,Estonia,EST,40672.13404
"GDP per capita, PPP (current international $)",2020,Eswatini,SWZ,9264.048585
