Year,Country Name,Country Code,mobile_sus
2020,Afghanistan,AFG,22700000
2020,Albania,ALB,2620000
2020,Algeria,DZA,45600000
2020,American Samoa,ASM,..
2020,Andorra,AND,80380
2020,Angola,AGO,14600000
2020,Antigua and Barbuda,ATG,184000
2020,Argentina,ARG,54800000
2020,Armenia,ARM,3490000
2020,Aruba,ABW,141000
2020,Australia,AUS,27000000
2020,Austria,AUT,10700000
2020,Azerbaijan,AZE,10300000
2020,"Bahamas, The",BHS,466000
2020,Bahrain,BHR,1770000
2020,Bangladesh,BGD,176000000
2020,Barbados,BRB,295000
2020,Belarus,BLR,11700000
2020,Belgium,BEL,11500000
2020,Belize,BLZ,264000
2020,Benin,BEN,11100000
2020,Bermuda,BMU,68000
2020,Bhutan,BTN,745137
2020,Bolivia,BOL,11800000
2020,Bosnia and Herzegovina,BIH,3510000
2020,Botswana,BWA,3830000
2020,Brazil,BRA,206000000
2020,British Virgin Islands,VGB,35163
2020,Brunei Darussalam,BRN,536589
2020,Bulgaria,BGR,7950000
2020,Burkina Faso,BFA,22100000
2020,Burundi,BDI,6630000
2020,Cabo Verde,CPV,544729
2020,Cambodia,KHM,21100000
2020,Cameroon,CMR,22400000
2020,Canada,CAN,32400000
2020,Cayman Islands,CYM,100000
2020,Central African Republic,CAF,1830000
2020,Chad,TCD,8690000
2020,Channel Islands,CHI,..
2020,Chile,CHL,25100000
2020,China,CHN,1720000000
2020,Colombia,COL,67700000
2020,Comoros,COM,781579
2020,"Congo, Dem. Rep.",COD,40800000
2020,"Congo, Rep.",COG,5620000
2020,Costa Rica,CRI,7510000
2020,Cote d'Ivoire,CIV,40100000
2020,Croatia,HRV,4380000
2020,Cuba,CUB,6660000
2020,Curacao,CUW,170000
2020,Cyprus,CYP,1240000
2020,Czechia,CZE,13000000
2020,Denmark,DNK,7250000
2020,Djibouti,DJI,434035
2020,Dominica,DMA,74607
2020,Dominican Republic,DOM,8990000
2020,Ecuador,ECU,15500000
2020,"Egypt, Arab Rep.",EGY,95400000
2020,El Salvador,SLV,9950000
2020,Equatorial Guinea,GNQ,744081
2020,Eritrea,ERI,1800000
2020,Estonia,EST,1930000
2020,Eswatini,SWZ,1250000
2020,Ethiopia,ETH,44500000
2020,Faroe Islands,FRO,59213
2020,Fiji,FJI,991500
2020,Finland,FIN,7120000
2020,France,FRA,72800000
2020,French Polynesia,PYF,335000
2020,Gabon,GAB,3050000
2020,"Gambia, The",GMB,2680000
2020,Georgia,GEO,5100000
2020,Germany,DEU,107000000
2020,Ghana,GHA,40500000
2020,Gibraltar,GIB,35438
2020,Greece,GRC,11400000
2020,Greenland,GRL,65958
2020,Grenada,GRD,118760
2020,Guam,GUM,..
2020,Guatemala,GTM,20400000
2020,Guinea,GIN,13800000
2020,Guinea-Bissau,GNB,1910000
2020,Guyana,GUY,856000
