codigo,precio,direccion,latitud,longitud,razon_social,distribuidor,nom_comuna,nom_region
co01001,1329.4615,Mapocho 1998,-33.43219,-70.66466,Sociedad Comercial E Inversiones V&G ltda,COPEC,Santiago Centro,Metropolitana de Santiago
co01002,1330.5,SAN PABLO 1571,-33.43440496,-70.65988898,Administradora de Ventas al Detalle Ltda.,COPEC,Santiago Centro,Metropolitana de Santiago
co01004,1366.5883,Avenida Almirante Blanco Encalada 1899,-33.45651927,-70.6606856,Distribuidora y Comercializadora Bronco Ltda,COPEC,Santiago Centro,Metropolitana de Santiago
co01005,1356.25,Avenida Matta 788,-33.45907254,-70.64504027,Administradora de Ventas al Detalle Ltda.,COPEC,Santiago Centro,Metropolitana de Santiago
co01007,1357.3846,Lord Cochrane 152,-33.44777135,-70.65466404,Comercial Desca Limitada,COPEC,Santiago Centro,Metropolitana de Santiago
co01008,1356.0769,Vicuña Mackenna 654,-33.44997352,-70.63110888,Sociedad Comercial y Distribuidora Becaso Ltda,COPEC,Ñuñoa,Metropolitana de Santiago
co01009,1322.1666,SAN PABLO 2602,-33.43521972,-70.67305058,SOC COM PINTO Y CANDIALTDA,COPEC,Santiago Centro,Metropolitana de Santiago
co01010,1324.5,SAN PABLO 1990,-33.43490635,-70.66442996,Administradora de Ventas al Detalle Ltda.,COPEC,Santiago Centro,Metropolitana de Santiago
co01011,1376.0555,NATANIEL COX 1802,-33.47015075,-70.64988166,Comercial Villaval ltda ,COPEC,Santiago Centro,Metropolitana de Santiago
co01012,1370.3529,VIEL 1921,-33.47205925,-70.65635115,Adm. de Gasolineras Ltda.,COPEC,Santiago Centro,Metropolitana de Santiago
co01013,1351,BASCUÑAN GUERRERO 568,-33.45679676,-70.67388207,ESTACION DE SERVICIO BRIZA LTDA,COPEC,Santiago Centro,Metropolitana de Santiago
co01014,1353.2858,CARMEN 185,-33.44639721,-70.64276576,Administradora de ventas al detalle ltda.,COPEC,Santiago Centro,Metropolitana de Santiago
co01015,1363.2858,ARTURO PRAT 683,-33.45374438,-70.64860761,RIVEROS Y LILLO LTDA,COPEC,Santiago Centro,Metropolitana de Santiago
co01016,1360.3334,Avenida Matta 665,-33.45786864,-70.64234734,COPEGAS LIMITADA,COPEC,Santiago Centro,Metropolitana de Santiago
co1010101,1414.8462,AV. ANGELMO 1920,-41.48148379,-72.95587599,SOCIEDAD Y SERVICIOS MIYA LTDA.,COPEC,Puerto Montt,De los Lagos
co1010103,1403.0244,CAMINO ALERCE 2000,-41.45913106,-72.91840553,DISTRIBUIDORA DE COMBUSTIBLES LA PALOMA LIMITADA / Rut : 76.014.449-5,COPEC,Puerto Montt,De los Lagos
co1010104,1405.9546,AV. Los Notros 905,-41.48033439,-72.97852993,Comercial y Servicios Nueva S y C Limitada,COPEC,Puerto Montt,De los Lagos
co1010105,1399.9546,"San MartÍn, Esq. Benavente 0",-41.47083696,-72.94048548,Comercial y Servicios Fersof ltda.,COPEC,Puerto Montt,De los Lagos
co1010106,1400.2174,CARRETERA PANAMERICANA 200,-41.46225069,-72.95374632,BERGUECIO Y EBENSPERGER LIMITADA  ,COPEC,Puerto Montt,De los Lagos
co1010107,1405.9048,AV. PRESIDENTE IBAÑEZ 1118,-41.46852167,-72.9605484,COMERCIAL R Y G  LIMITADA   ,COPEC,Puerto Montt,De los Lagos
co1010108,1406.1364,Av. Gabriela Mistral 955,-41.40475072,-72.91678228,Comercial y servicios Roco Limitada,COPEC,Puerto Montt,De los Lagos
co1010109,1410.3914,av cardonal km 3 0001,-41.45271304,-73.00913644,Comercial Los Roques Ltda.,COPEC,Puerto Montt,De los Lagos
co1010110,1430.3125,"AMANECER DE ALICANTE N°2016, JARDIN AUSTRAL",-41.44657343,-72.92777933,ADMINISTRADORA DE VENTAS AL DETALLE LIMITADA,COPEC,Puerto Montt,De los Lagos
co1010201,1402.7,ALMIRANTE LA TORRE 370,-41.7579475,-73.14553499,SOCIEDAD COMERCIAL PÉREZ-HERRERA LTDA.,COPEC,Calbuco,De los Lagos
co1010401,1406.6,IRARRAZABAL 003,-41.15313147,-73.42227459,Comercial T&T Limitada   ,COPEC,Fresia,De los Lagos
co1010501,1406.7142,ARTURO ALESSANDRI 187,-41.1173085,-73.04820836,COMERCIALIZADORA Y DISTRIBUIDORA FACI LTDA.,COPEC,Frutillar,De los Lagos
co1010602,1410.7916,"Manuel Rodriguez, Los Muermos",-41.3933995,-73.46317919,Comercial y Servicios Los Galpones Limitada,COPEC,Los Muermos,De los Lagos
