Country name,Rank,volume_pc,volume_pc_log
United States,1,$222,2.35
Singapore,2,$119,2.08
Estonia,3,$106,2.03
United Kingdom,4,$100,2
Lithuania,5,$73,1.86
Finland,16,$68,1.83
Israel,7,$68,1.83
"Hong Kong SAR, China",8,$62,1.79
Isle of Man,9,$58,1.77
Chile,10,$51,1.71
Slovenia,11,$48,1.69
Armenia,12,$44,1.64
Australia,13,$40,1.6
Latvia,14,$40,1.6
New Zealand,15,$39,1.59
Moldova,16,$35,1.54
Italy,18,$31,1.49
Netherlands,18,$30,1.47
"Korea, Rep.",19,$22,1.34
Albania,20,$21,1.32
France,22,$18,1.27
Ghana,22,$17,1.24
Brazil,23,$17,1.22
Zambia,24,$17,1.22
Costa Rica,25,$14,1.16
Sweden,26,$13,1.11
Uruguay,27,$13,1.1
Spain,29,$12,1.09
Czech Republic,29,$12,1.09
Germany,30,$12,1.09
Norway,31,$11,1.03
Denmark,32,$11,1.03
Colombia,33,$10,1.01
North Macedonia,34,$10,0.99
Botswana,35,$9,0.98
Kazakhstan,36,$9,0.97
Luxembourg,37,$9,0.96
Ukraine,38,$9,0.95
Poland,39,$8,0.9
Bulgaria,40,$8,0.88
United Arab Emirates,41,$7,0.84
Switzerland,42,$6,0.75
Belgium,43,$5,0.72
Indonesia,45,$5,0.72
Japan,45,$5,0.71
Faroe Islands,46,$5,0.67
Georgia,47,$5,0.67
Canada,48,$5,0.65
Ireland,49,$4,0.62
Mexico,50,$4,0.61
Malaysia,51,$3,0.54
Namibia,52,$3,0.52
Dominican Republic,54,$3,0.49
Uganda,54,$2,0.39
Peru,55,$2,0.38
Tanzania,56,$2,0.25
Portugal,57,$2,0.23
India,58,$2,0.22
Belarus,59,$2,0.21
Russian Federation,60,$2,0.21
Argentina,61,$2,0.2
Romania,62,$2,0.19
Kenya,63,$1,0.12
Vietnam,64,$1,0.09
Mauritius,65,$1,0
